user_id,start_date
16,2024-02-27
22,2024-02-08
27,2024-02-11
39,2024-01-24
42,2024-02-22
43,2024-01-21
67,2024-02-24
87,2024-02-13
91,2024-02-04
101,2024-03-11
117,2024-03-04
119,2024-03-16
121,2024-01-26
127,2024-01-17
129,2024-02-28
149,2024-01-13
161,2024-02-18
199,2024-01-19
208,2024-02-06
213,2024-01-18
222,2024-02-18
225,2024-02-12
235,2024-02-10
245,2024-01-21
248,2024-01-13
258,2024-02-06
260,2024-02-19
264,2024-02-10
295,2024-02-03
307,2024-03-08
308,2024-01-14
312,2024-02-16
327,2024-01-14
331,2024-01-17
336,2024-01-18
338,2024-01-11
367,2024-03-06
371,2024-01-13
374,2024-01-20
381,2024-01-31
393,2024-01-26
396,2024-02-18
417,2024-02-06
427,2024-02-23
434,2024-02-26
448,2024-03-09
451,2024-01-22
460,2024-01-07
472,2024-01-16
474,2024-01-16
487,2024-03-05
490,2024-02-17
492,2024-01-19
497,2024-01-19
506,2024-01-06
511,2024-01-11
518,2024-02-14
546,2024-03-03
551,2024-01-10
565,2024-03-03
572,2024-03-09
580,2024-02-16
587,2024-02-04
607,2024-02-05
620,2024-02-05
630,2024-01-12
634,2024-02-02
669,2024-03-02
670,2024-02-24
677,2024-02-18
691,2024-02-03
703,2024-01-05
704,2024-02-24
706,2024-01-20
716,2024-03-01
725,2024-03-04
754,2024-02-12
760,2024-02-12
761,2024-01-19
769,2024-01-22
773,2024-02-21
776,2024-02-21
781,2024-02-10
796,2024-02-14
800,2024-01-28
803,2024-02-10
838,2024-01-17
852,2024-02-08
879,2024-03-08
895,2024-02-24
899,2024-01-16
902,2024-01-19
903,2024-01-09
918,2024-02-12
930,2024-02-09
937,2024-03-12
948,2024-02-17
965,2024-01-15
972,2024-01-31
976,2024-03-02
981,2024-01-19
994,2024-02-16
995,2024-01-10
1000,2024-03-08
1001,2024-03-01
1004,2024-01-27
1005,2024-01-28
1025,2024-03-04
1038,2024-01-25
1043,2024-02-17
1048,2024-01-21
1057,2024-02-05
1059,2024-03-04
1071,2024-02-01
1080,2024-01-16
1102,2024-02-19
1110,2024-02-16
1119,2024-03-02
1132,2024-01-13
1133,2024-01-30
1139,2024-03-04
1146,2024-02-06
1150,2024-02-06
1153,2024-01-27
1157,2024-02-25
1161,2024-01-28
1166,2024-02-27
1167,2024-02-10
1175,2024-01-14
1179,2024-03-14
1201,2024-01-10
1203,2024-01-11
1210,2024-03-08
1214,2024-02-18
1218,2024-02-22
1226,2024-02-24
1230,2024-02-08
1235,2024-01-28
1242,2024-02-08
1252,2024-01-17
1274,2024-02-08
1283,2024-02-11
1284,2024-02-21
1300,2024-03-04
1305,2024-01-10
1306,2024-01-18
1313,2024-01-20
1338,2024-03-03
1400,2024-01-11
1404,2024-01-19
1408,2024-01-25
1411,2024-01-15
1420,2024-01-23
1422,2024-03-06
1430,2024-02-06
1431,2024-02-09
1440,2024-03-05
1449,2024-02-02
1452,2024-02-11
1453,2024-01-08
1471,2024-02-26
1478,2024-02-19
1481,2024-01-24
1485,2024-02-10
1502,2024-01-22
1519,2024-02-10
1536,2024-02-20
1556,2024-01-20
1562,2024-02-08
1566,2024-01-26
1573,2024-02-02
