user_id,signup_date,activated,paid
1,2024-02-29,True,False
2,2024-01-16,False,False
3,2024-01-03,True,False
4,2024-02-25,True,False
5,2024-02-21,False,False
6,2024-01-16,False,False
7,2024-01-06,False,False
8,2024-02-09,True,False
9,2024-02-01,True,False
10,2024-02-27,True,False
11,2024-02-28,True,False
12,2024-01-18,False,False
13,2024-02-23,True,False
14,2024-02-28,False,False
15,2024-01-12,True,False
16,2024-02-13,True,True
17,2024-01-19,True,False
18,2024-01-20,True,False
19,2024-02-01,True,False
20,2024-02-24,False,False
21,2024-01-01,True,False
22,2024-02-01,True,True
23,2024-01-23,True,False
24,2024-02-06,True,False
25,2024-01-25,False,False
26,2024-01-16,False,False
27,2024-02-04,True,True
28,2024-01-14,False,False
29,2024-01-28,True,False
30,2024-01-10,False,False
31,2024-01-06,False,False
32,2024-02-26,False,False
33,2024-02-27,False,False
34,2024-01-31,True,False
35,2024-02-14,True,False
36,2024-02-11,False,False
37,2024-01-25,True,False
38,2024-01-24,True,False
39,2024-01-23,True,True
40,2024-03-01,True,False
41,2024-02-14,True,False
42,2024-02-10,True,True
43,2024-01-18,True,True
44,2024-01-22,True,False
45,2024-01-16,True,False
46,2024-02-05,True,False
47,2024-02-09,True,False
48,2024-01-31,True,False
49,2024-02-01,True,False
50,2024-01-15,True,False
51,2024-02-13,False,False
52,2024-02-12,True,False
53,2024-01-16,True,False
54,2024-02-22,True,False
55,2024-02-06,True,False
56,2024-02-27,True,False
57,2024-02-26,True,False
58,2024-01-13,True,False
59,2024-01-23,True,False
60,2024-02-27,True,False
61,2024-02-16,True,False
62,2024-02-18,True,False
63,2024-02-17,False,False
64,2024-01-15,True,False
65,2024-02-08,True,False
66,2024-01-11,True,False
67,2024-02-09,True,True
68,2024-01-23,True,False
69,2024-01-14,True,False
70,2024-02-15,True,False
71,2024-01-26,True,False
72,2024-01-14,False,False
73,2024-01-08,True,False
74,2024-01-16,True,False
75,2024-01-21,True,False
76,2024-01-18,True,False
77,2024-01-21,True,False
78,2024-01-02,True,False
79,2024-01-31,True,False
80,2024-02-27,False,False
81,2024-02-28,True,False
82,2024-02-04,True,False
83,2024-02-03,True,False
84,2024-02-12,True,False
85,2024-02-28,True,False
86,2024-02-05,True,False
87,2024-01-31,True,True
88,2024-02-24,True,False
89,2024-01-23,True,False
90,2024-02-14,True,False
91,2024-01-23,True,True
92,2024-01-16,False,False
93,2024-02-26,False,False
94,2024-02-20,True,False
95,2024-02-21,True,False
96,2024-01-13,False,False
97,2024-02-04,False,False
98,2024-01-29,False,False
99,2024-02-22,False,False
100,2024-01-18,True,False
101,2024-03-01,True,True
102,2024-02-26,True,False
103,2024-02-09,False,False
104,2024-01-09,True,False
105,2024-01-09,False,False
106,2024-02-18,False,False
107,2024-01-22,True,False
108,2024-02-10,True,False
109,2024-02-29,False,False
110,2024-01-30,True,False
111,2024-02-22,True,False
112,2024-01-06,True,False
113,2024-01-19,True,False
114,2024-02-08,False,False
115,2024-03-01,False,False
116,2024-01-11,False,False
117,2024-02-26,True,True
118,2024-01-17,True,False
119,2024-03-01,True,True
120,2024-02-06,True,False
121,2024-01-23,True,True
122,2024-02-13,True,False
123,2024-01-28,False,False
124,2024-01-09,True,False
125,2024-02-04,True,False
126,2024-01-21,False,False
127,2024-01-06,True,True
128,2024-01-24,True,False
129,2024-02-23,True,True
130,2024-01-01,True,False
131,2024-01-08,False,False
132,2024-01-14,True,False
133,2024-01-31,True,False
134,2024-01-04,True,False
135,2024-01-30,True,False
136,2024-01-28,True,False
137,2024-02-23,False,False
138,2024-02-08,True,False
139,2024-01-19,True,False
140,2024-01-03,False,False
141,2024-02-03,True,False
142,2024-02-08,True,False
143,2024-01-28,True,False
144,2024-01-20,False,False
145,2024-01-13,True,False
146,2024-01-23,True,False
147,2024-02-12,True,False
148,2024-01-12,True,False
149,2024-01-03,True,True
150,2024-02-27,True,False
151,2024-01-12,True,False
152,2024-02-28,True,False
153,2024-01-14,True,False
154,2024-01-17,False,False
155,2024-02-17,True,False
156,2024-01-22,True,False
157,2024-01-05,True,False
158,2024-02-12,False,False
159,2024-01-17,False,False
160,2024-01-18,True,False
161,2024-02-09,True,True
162,2024-01-05,False,False
163,2024-01-21,False,False
164,2024-01-16,True,False
165,2024-02-09,True,False
166,2024-02-05,True,False
167,2024-02-05,False,False
168,2024-02-14,True,False
169,2024-02-09,True,False
170,2024-02-22,True,False
171,2024-01-06,True,False
172,2024-01-23,True,False
173,2024-01-19,True,False
174,2024-02-19,True,False
175,2024-02-03,False,False
176,2024-01-04,True,False
177,2024-02-04,True,False
178,2024-01-14,False,False
179,2024-01-11,True,False
180,2024-01-28,True,False
181,2024-01-01,True,False
182,2024-01-12,True,False
183,2024-02-14,True,False
184,2024-02-23,False,False
185,2024-01-16,False,False
186,2024-01-10,True,False
187,2024-01-25,True,False
188,2024-02-06,True,False
189,2024-01-26,True,False
190,2024-02-24,False,False
191,2024-02-28,True,False
192,2024-01-05,True,False
193,2024-02-19,True,False
194,2024-02-21,True,False
195,2024-01-13,False,False
196,2024-02-26,True,False
197,2024-01-09,True,False
