user_id,payment_date,amount
16,2024-02-27,10.0
22,2024-02-08,10.0
27,2024-02-11,10.0
27,2024-03-12,10.0
27,2024-04-11,10.0
39,2024-01-24,10.0
39,2024-02-23,10.0
39,2024-03-24,10.0
39,2024-04-23,10.0
39,2024-05-23,10.0
42,2024-02-22,10.0
42,2024-03-23,10.0
42,2024-04-22,10.0
43,2024-01-21,10.0
67,2024-02-24,10.0
67,2024-03-25,10.0
87,2024-02-13,10.0
87,2024-03-14,10.0
91,2024-02-04,10.0
91,2024-03-05,10.0
101,2024-03-11,10.0
101,2024-04-10,10.0
101,2024-05-10,10.0
101,2024-06-09,10.0
101,2024-07-09,10.0
117,2024-03-04,10.0
117,2024-04-03,10.0
117,2024-05-03,10.0
117,2024-06-02,10.0
117,2024-07-02,10.0
117,2024-08-01,10.0
119,2024-03-16,10.0
119,2024-04-15,10.0
119,2024-05-15,10.0
119,2024-06-14,10.0
119,2024-07-14,10.0
119,2024-08-13,10.0
121,2024-01-26,10.0
121,2024-02-25,10.0
121,2024-03-26,10.0
121,2024-04-25,10.0
121,2024-05-25,10.0
127,2024-01-17,10.0
127,2024-02-16,10.0
127,2024-03-17,10.0
129,2024-02-28,10.0
129,2024-03-29,10.0
129,2024-04-28,10.0
149,2024-01-13,10.0
149,2024-02-12,10.0
149,2024-03-13,10.0
149,2024-04-12,10.0
161,2024-02-18,10.0
199,2024-01-19,10.0
208,2024-02-06,10.0
208,2024-03-07,10.0
213,2024-01-18,10.0
222,2024-02-18,10.0
222,2024-03-19,10.0
222,2024-04-18,10.0
222,2024-05-18,10.0
225,2024-02-12,10.0
225,2024-03-13,10.0
225,2024-04-12,10.0
225,2024-05-12,10.0
225,2024-06-11,10.0
235,2024-02-10,10.0
235,2024-03-11,10.0
235,2024-04-10,10.0
235,2024-05-10,10.0
245,2024-01-21,10.0
245,2024-02-20,10.0
245,2024-03-21,10.0
245,2024-04-20,10.0
245,2024-05-20,10.0
245,2024-06-19,10.0
248,2024-01-13,10.0
248,2024-02-12,10.0
248,2024-03-13,10.0
248,2024-04-12,10.0
248,2024-05-12,10.0
258,2024-02-06,10.0
258,2024-03-07,10.0
258,2024-04-06,10.0
258,2024-05-06,10.0
258,2024-06-05,10.0
258,2024-07-05,10.0
260,2024-02-19,10.0
260,2024-03-20,10.0
260,2024-04-19,10.0
260,2024-05-19,10.0
264,2024-02-10,10.0
264,2024-03-11,10.0
264,2024-04-10,10.0
264,2024-05-10,10.0
264,2024-06-09,10.0
295,2024-02-03,10.0
307,2024-03-08,10.0
307,2024-04-07,10.0
307,2024-05-07,10.0
307,2024-06-06,10.0
307,2024-07-06,10.0
308,2024-01-14,10.0
308,2024-02-13,10.0
308,2024-03-14,10.0
308,2024-04-13,10.0
308,2024-05-13,10.0
312,2024-02-16,10.0
312,2024-03-17,10.0
312,2024-04-16,10.0
327,2024-01-14,10.0
327,2024-02-13,10.0
327,2024-03-14,10.0
331,2024-01-17,10.0
331,2024-02-16,10.0
331,2024-03-17,10.0
331,2024-04-16,10.0
336,2024-01-18,10.0
336,2024-02-17,10.0
336,2024-03-18,10.0
338,2024-01-11,10.0
338,2024-02-10,10.0
338,2024-03-11,10.0
338,2024-04-10,10.0
338,2024-05-10,10.0
367,2024-03-06,10.0
367,2024-04-05,10.0
